unterwegsimkoreanischenD,Our Blues,8.6,10,10,10,10,10
the_sapio_nerd,Our Blues,8.6,10,10,10,10,10
fatema,Our Blues,8.6,10,10,10,10,10
Alchemy,Our Blues,8.6,9.5,10,10,6.0,9.0
Shiro,Our Blues,8.6,9.0,9.0,9.5,8.5,5.0
Nawal Umar,Our Blues,8.6,10,10,10,10,10
alexi0,Our Blues,8.6,10,10,10,10,10
DanielaPadilla,Our Blues,8.6,10,10,10,10,10
Kawaii433,Our Blues,8.6,10,10,10,9.5,10
Joerin,Our Blues,8.6,9.0,9.0,9.5,8.5,8.0
Gaomi,Our Blues,8.6,10,10,10,10,10
Sweet,Our Blues,8.6,9.5,10,10,8.5,9.0
Appu,Our Blues,8.6,9.0,9.0,10,10,8.5
PickyPrincess11,Our Blues,8.6,9.5,9.5,10,9.5,9.5
Introverted,Our Blues,8.6,9.0,9.0,9.5,9.5,8.0
Kdrama fanatic,Our Blues,8.6,5.0,6.0,6.0,6.0,1.0
Terry Tsurugi,Our Blues,8.6,7.0,6.0,9.5,7.0,7.0
Emma_kim,Our Blues,8.6,10,10,10,10,10
Mohamed Elsaid Moanes,Our Blues,8.6,10,10,10,10,7.0
virgievirgie,Our Blues,8.6,8.5,8.5,9.5,9.0,8.0
maggx,Our Blues,8.6,10,10,10,10,6.0
aein,Our Blues,8.6,8.5,8.5,8.5,9.0,8.5
Lila1306,Our Blues,8.6,8.0,8.0,7.5,4.0,1.0
giana,Our Blues,8.6,8.5,9.0,10,8.0,7.0
djohangaon,Our Blues,8.6,8.0,8.5,9.0,8.0,7.0
Niaelinia,Our Blues,8.6,10,10,10,10,10
Genie,Our Blues,8.6,9.0,9.0,10,10,7.5
AtlLee,Our Blues,8.6,7.0,7.0,6.5,1.0,1.5
yopekas,Our Blues,8.6,10,10,10,10,10
Pnax,Our Blues,8.6,8.0,8.0,10,8.5,8.0
Sinasina,Our Blues,8.6,7.5,6.5,10,7.0,7.0
K-lover61,Our Blues,8.6,9.0,9.0,10,8.0,10
Lily,Our Blues,8.6,10,10,10,10,7.0
Librian_girl,Our Blues,8.6,9.5,9.0,9.5,8.5,10
dramagon,Our Blues,8.6,10,10,10,10,10
tiniwinibitties,Our Blues,8.6,10,10,10,10,9.0
kdramas_stan,Our Blues,8.6,9.0,8.0,10,10,6.0
pao3719,Our Blues,8.6,9.0,9.0,10,9.0,9.0
PHope,Our Blues,8.6,8.0,8.0,8.0,5.0,5.0
Caffemocha,Our Blues,8.6,10,10,10,10,10
