Username,Title,Rating,overall_rating,story,acting,music,rewatch
Aestheticoftruth,Better Days,9.2,9.0,10,10,8.0,6.0
Kookieseyes,Better Days,9.2,10,10,10,10,10
SUNFLOWER,Better Days,9.2,10,10,10,10,10
MintChocolate,Better Days,9.2,10,10,10,10,10
Roshnie6,Better Days,9.2,10,10,10,10,9.5
jungbareumshoe,Better Days,9.2,10,9.5,10,10,10
2ndLeadsBest,Better Days,9.2,10,10,10,9.0,10
soup,Better Days,9.2,9.5,8.5,9.0,9.0,10
neo_prune,Better Days,9.2,10,10,10,10,10
iWang,Better Days,9.2,10,10,10,10,10
JcLovesBTS,Better Days,9.2,10,10,10,10,10
Morke,Better Days,9.2,10,10,10,10,10
Dramaaddict_x_x,Better Days,9.2,10,10,10,10,10
Violet,Better Days,9.2,9.0,10,10,7.5,5.5
ughhtzipi,Better Days,9.2,10,10,9.5,10,9.0
shetoo,Better Days,9.2,9.0,9.0,9.5,7.0,6.0
77Steph,Better Days,9.2,8.0,7.0,9.0,8.0,8.0
Rose,Better Days,9.2,7.0,8.5,8.0,5.5,1.0
gigica,Better Days,9.2,10,10,10,10,8.0
Carlibarn,Better Days,9.2,10,10,10,8.5,9.5
archivesdememoire,Better Days,9.2,10,10,10,6.0,8.5
Seoran,Better Days,9.2,10,10,10,10,10
petit calamar,Better Days,9.2,10,10,10,10,10
Rosane Almeida,Better Days,9.2,10,10,10,8.5,10
Emmanuel,Running Man,9.2,10,10,10,10,10
ailee canada,Running Man,9.2,10,10,10,10,10
XingBack,Running Man,9.2,10,10,10,10,10
dragynfaerie,Running Man,9.2,10,10,10,10,10
Rowena Martinez,Running Man,9.2,10,10,10,10,10
Aya97,Running Man,9.2,9.5,8.0,10,7.0,10
DepparizzOfficial,Running Man,9.2,10,10,10,10,10
Jihaashr,Running Man,9.2,10,10,10,10,10
Jerek,Running Man,9.2,10,10,9.0,10,8.0
juiceblender,Running Man,9.2,10,10,10,10,10
brianpau,Running Man,9.2,10,10,10,10,10
dakuchonekobing,Running Man,9.2,10,10,5.0,7.5,10
sal105,Running Man,9.2,9.0,10,10,10,10
Anolord,Running Man,9.2,9.5,8.5,9.5,9.0,9.5
kiransihota,Running Man,9.2,10,9.0,10,5.0,9.0
Y_F,Running Man,9.2,10,10,10,10,10
MedleyPerfumes,Running Man,9.2,9.0,10,9.0,10,8.0
dreamz,Running Man,9.2,10,10,10,10,10
FijiJay,Running Man,9.2,8.5,8.0,8.0,8.0,9.0
Brenda Cruz,Running Man,9.2,10,10,10,10,10
JulyMoon,Break the Silence: The Movie,9.2,9.5,9.5,10,10,10
Insfire,Break the Silence: The Movie,9.2,10,10,10,10,10
Mei,Seventeen in the Soop,9.2,10,10,10,10,10
BelugaBlue,Seventeen in the Soop,9.2,10,10,10,10,9.5
vitoria,Seventeen in the Soop,9.2,10,10,10,10,10
nic,J-Hope in the Box,9.2,10,10,10,10,10
Nashelie_7,J-Hope in the Box,9.2,9.0,10,10,9.0,9.0
mycloverformrdarcy,J-Hope in the Box,9.2,10,10,10,10,8.0
Vixen96,J-Hope in the Box,9.2,7.0,7.0,7.0,7.0,7.0
Lunna,J-Hope in the Box,9.2,8.5,8.5,10,10,7.0
CherryBunny,Move to Heaven,9.1,9.0,9.0,10,9.0,10
the_sapio_nerd,Move to Heaven,9.1,8.5,9.0,9.5,9.0,10
Shiro,Move to Heaven,9.1,10,10,9.5,10,7.0
yoonthethicc,Move to Heaven,9.1,9.5,8.5,9.5,9.0,5.0
Strawberry Orange,Move to Heaven,9.1,10,10,10,9.5,10
jeithpro,Move to Heaven,9.1,10,10,10,10,2.0
My Liberation Notes,Move to Heaven,9.1,10,10,10,10,10
makon,Move to Heaven,9.1,10,10,10,6.0,10
Sban,Move to Heaven,9.1,6.5,7.0,10,9.5,6.5
torochii,Move to Heaven,9.1,10,10,10,10,9.0
LaLa,Move to Heaven,9.1,10,10,10,10,10
Ella,Move to Heaven,9.1,9.5,9.0,9.5,9.5,9.5
Anjelle,Move to Heaven,9.1,10,10,10,8.0,10
Chii,Move to Heaven,9.1,8.5,9.5,10,8.0,8.0
XingBack,Move to Heaven,9.1,8.0,7.5,9.0,8.0,1.0
Soula,Move to Heaven,9.1,6.0,6.5,7.0,5.5,5.0
Strangerkid,Move to Heaven,9.1,10,10,9.5,10,9.5
jesslyn_wynne,Move to Heaven,9.1,10,10,10,10,8.5
Kdrama fanatic,Move to Heaven,9.1,10,10,10,10,10
PapayaSammy on twitch,Move to Heaven,9.1,10,10,10,10,10
Cassey,Move to Heaven,9.1,10,10,10,10,10
cortaditas,Move to Heaven,9.1,8.0,8.0,9.0,6.0,7.0
Cheryl Blossom,Move to Heaven,9.1,10,10,10,10,10
Sophia,Move to Heaven,9.1,6.5,7.0,8.0,5.0,5.0
jaheffry,Move to Heaven,9.1,10,10,10,10,10
Linda_Engelhart,Move to Heaven,9.1,10,9.5,10,10,7.5
N_C,Move to Heaven,9.1,10,10,10,10,10
UsagiRyouhei,Move to Heaven,9.1,10,10,10,10,10
Roomie,Move to Heaven,9.1,8.0,9.0,9.0,7.0,8.0
SeikaRin,Move to Heaven,9.1,10,10,10,10,10
haritha2552,Move to Heaven,9.1,10,10,10,10,10
lilyyedwards03,Move to Heaven,9.1,10,10,10,10,10
thepunkenby,Move to Heaven,9.1,10,10,10,9.5,10
some random cool nuna,Move to Heaven,9.1,10,10,10,8.0,9.0
Hauli,Move to Heaven,9.1,10,10,10,9.0,10
mimi,Move to Heaven,9.1,10,10,10,10,10
WheresWallace,Move to Heaven,9.1,9.5,10,10,7.0,6.0
joonie,Move to Heaven,9.1,10,10,10,10,4.0
elworld707,Move to Heaven,9.1,9.5,10,10,9.0,9.0
istergy,Move to Heaven,9.1,10,10,10,10,10
ace,Move to Heaven,9.1,10,9.5,10,8.0,10
Dew,Move to Heaven,9.1,10,10,10,10,10
yopekas,Move to Heaven,9.1,10,9.5,10,10,10
Dramaaddicts,Move to Heaven,9.1,10,10,10,10,10
PPBongi,Move to Heaven,9.1,10,10,10,10,10
Drama Addict,Move to Heaven,9.1,10,10,10,8.0,8.0
Duckk,Move to Heaven,9.1,7.5,8.0,9.0,6.0,4.0
Noran,Move to Heaven,9.1,10,10,10,10,10
sabrine,Move to Heaven,9.1,9.5,9.5,10,9.0,9.0
Acid Mana,Move to Heaven,9.1,10,10,10,9.0,9.0
